SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,CLIENT_AGE_YEARS,CNT_FAM_MEMBERS,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,PAYMENT_YEARS,INCOME_PER_PERSON,DAYS_EMPLOYED_PERCENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CREDIT_ACTIVE,CREDIT_CLOSED,NB_PREVIOUS_APP,NB_APPROVED,NB_REFUSED
428491,126000.0,1288350.0,41562.0,44.04654346338125,3.0,10.225,0.32985714285714285,30.99826764833261,42000.0,0.0749005469915465,0.5059979305057544,0.4885288829110538,0.4048783643353997,1.0,5.0,1.0,1.0,0.0
366011,450000.0,1546020.0,45202.5,27.967145790554415,2.0,3.4356,0.10045,34.20209059233449,225000.0,0.03416544297601566,0.5072374542004511,0.437623245775932,0.3606125659189888,2.0,3.0,5.0,2.0,1.0
388298,112500.0,359725.5,16897.5,44.51471594798083,3.0,3.19756,0.1502,21.28868175765646,37500.0,0.0801402300264469,0.5716888812290146,0.4560307073152848,0.2314393514998941,5.0,7.0,14.0,2.0,10.0
201596,162000.0,135000.0,6750.0,58.09445585215606,2.0,0.8333333333333334,0.041666666666666664,20.0,81000.0,0.07761911494415383,0.5059979305057544,0.3556316060114693,0.3441550073724169,7.0,20.0,2.0,2.0,0.0
296970,202500.0,1007761.5,42826.5,33.34154688569473,3.0,4.9766,0.2114888888888889,23.53125985079332,67500.0,0.16546230908195106,0.5059979305057544,0.6050093109466619,0.2580842039460289,3.0,4.0,11.0,8.0,2.0
243511,135000.0,615109.5,34474.5,50.81724845995893,1.0,4.5563666666666665,0.2553666666666667,17.84244876647957,135000.0,0.11858197295404342,0.5368233095214228,0.3941323638885272,0.2678689358444539,1.0,15.0,15.0,7.0,3.0
260262,135000.0,1005120.0,29520.0,34.483230663928815,2.0,7.445333333333333,0.21866666666666668,34.048780487804876,67500.0,0.1317189360857483,0.5059979305057544,0.2487296976618488,0.5136937663039473,1.0,3.0,1.0,1.0,0.0
433832,69750.0,202500.0,10125.0,53.4072553045859,2.0,2.903225806451613,0.14516129032258066,20.0,34875.0,0.11873294066944405,0.7202330755163315,0.7490476888779253,0.6041125998015721,3.0,0.0,3.0,3.0,0.0
291810,148500.0,1125000.0,32895.0,58.444900752908964,2.0,7.575757575757576,0.22151515151515153,34.19972640218878,74250.0,0.5159038740806671,0.5059979305057544,0.7190923239128617,0.5352762504724826,0.0,0.0,1.0,1.0,0.0
387323,225000.0,1755000.0,46426.5,41.596167008898014,3.0,7.8,0.20634,37.80168653678395,75000.0,0.04469163430527216,0.5059979305057544,0.5345412926434252,0.6690566947824041,0.0,7.0,5.0,5.0,0.0
342096,85500.0,225000.0,12334.5,27.44147843942505,2.0,2.6315789473684212,0.14426315789473684,18.241517694272165,42750.0,0.058565299810436,0.2862843248528384,0.6332166012634296,0.2650494299443805,5.0,1.0,7.0,2.0,5.0
396134,81000.0,231813.0,11965.5,62.784394250513344,1.0,2.8618888888888887,0.14772222222222223,19.37344866491162,81000.0,0.11873294066944405,0.5613325188192606,0.4959346028035168,0.4920600938649263,4.0,3.0,4.0,2.0,0.0
413140,112500.0,254700.0,14751.0,67.6413415468857,2.0,2.264,0.13112,17.266625991458206,56250.0,0.11873294066944405,0.811483700569143,0.701254869736879,0.5352762504724826,0.0,0.0,2.0,2.0,0.0
455501,90000.0,143910.0,15628.5,42.54346338124572,2.0,1.599,0.17365,9.208177368269508,45000.0,0.027736662590900317,0.4059266689041872,0.6026238850939697,0.5352762504724826,0.0,0.0,4.0,2.0,0.0
384728,225000.0,1065433.5,42385.5,37.138945927446954,3.0,4.73526,0.18838,25.136744877375516,75000.0,0.33571691854036123,0.5059979305057544,0.7063603723935917,0.5779691187553125,2.0,4.0,1.0,1.0,0.0
327825,112500.0,500544.0,13891.5,40.714579055441476,3.0,4.44928,0.12348,36.03239390994493,37500.0,0.015600833837670634,0.6730853154986075,0.5940261692126718,0.5352762504724826,0.0,0.0,3.0,3.0,0.0
193145,189000.0,194076.0,8545.5,39.31279945242984,3.0,1.026857142857143,0.045214285714285714,22.71090047393365,63000.0,0.19799428929591198,0.5059979305057544,0.5726529113136846,0.5352762504724826,0.0,0.0,6.0,6.0,0.0
162958,135000.0,135000.0,6750.0,40.17522245037645,3.0,1.0,0.05,20.0,45000.0,0.1178955976557176,0.5059979305057544,0.6757096339172728,0.5352762504724826,0.0,0.0,6.0,4.0,0.0
270624,270000.0,490495.5,47911.5,38.49965776865161,4.0,1.81665,0.17745,10.23753169907016,67500.0,0.378822358128289,0.5366210974213291,0.7550336265680602,0.4276573700350293,2.0,3.0,6.0,5.0,0.0
170886,270000.0,1288350.0,37800.0,31.67145790554415,3.0,4.7716666666666665,0.14,34.083333333333336,90000.0,0.13900414937759337,0.5059979305057544,0.5664716723716176,0.1482543790610911,5.0,4.0,3.0,3.0,0.0
295934,112500.0,1372500.0,36333.0,31.326488706365502,3.0,12.2,0.32296,37.775575922714886,37500.0,0.34862786226184234,0.5259169082160503,0.5199672954415664,0.7136313997323308,1.0,3.0,4.0,3.0,0.0
108736,180000.0,1249740.0,69781.5,60.75564681724846,2.0,6.943,0.387675,17.909331269749146,90000.0,0.11873294066944405,0.5059979305057544,0.6056571206712348,0.7062051096536562,1.0,8.0,4.0,4.0,0.0
100100,202500.0,796396.5,38443.5,43.5564681724846,4.0,3.932822222222222,0.18984444444444445,20.716024815638534,50625.0,0.06876610723489848,0.4476751393608083,0.495765140717496,0.8245949709919925,0.0,5.0,5.0,5.0,0.0
