SK_ID_CURR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
428491.0,244900.0,448200.0,297552.0,344305.0,113000.0,346949.0,255220.0,347164.0,307488.0,183482.0,402012.0,307189.0,304457.0,287498.0,258015.0,333946.0,313721.0,190971.0,409843.0,244559.0,423695.0,271375.0,421757.0,225445.0,442463.0,205616.0,229143.0,275094.0,211476.0,137093.0,255846.0,275979.0,187660.0,194004.0,209615.0,343064.0,222106.0,168818.0,427414.0,397098.0,216144.0,226852.0,141307.0,178275.0,353403.0,241688.0,397297.0,278557.0,316864.0
366011.0,304796.0,280105.0,175154.0,290218.0,192499.0,412554.0,436246.0,127005.0,401711.0,335954.0,340172.0,283450.0,231627.0,189954.0,435327.0,398201.0,317040.0,178409.0,267252.0,215529.0,130257.0,162364.0,379443.0,410793.0,436969.0,356136.0,146062.0,258008.0,132160.0,377521.0,163656.0,286190.0,374362.0,191184.0,108513.0,197755.0,283755.0,295085.0,335828.0,324911.0,217302.0,147369.0,260876.0,329620.0,105107.0,145278.0,441670.0,292675.0,247233.0
388298.0,293231.0,412279.0,150426.0,207837.0,235975.0,347063.0,207853.0,241029.0,166737.0,310815.0,306380.0,151258.0,371785.0,113900.0,359631.0,425278.0,117815.0,341601.0,183569.0,288205.0,418864.0,408422.0,143499.0,254271.0,445519.0,427380.0,198342.0,276166.0,396189.0,154535.0,301777.0,440800.0,288767.0,165841.0,130416.0,329477.0,204609.0,183584.0,442192.0,126770.0,442169.0,420447.0,296941.0,308178.0,343214.0,380449.0,208108.0,129119.0,445905.0
201596.0,229094.0,349782.0,394494.0,211714.0,314516.0,417134.0,301197.0,209460.0,267667.0,426867.0,406392.0,409842.0,254348.0,379605.0,216793.0,369714.0,198302.0,394698.0,354924.0,179584.0,351716.0,334697.0,376597.0,379158.0,445905.0,246511.0,431874.0,178681.0,397817.0,268042.0,389861.0,400559.0,244105.0,277657.0,277248.0,390221.0,357937.0,182414.0,273862.0,181849.0,373970.0,329216.0,408150.0,273619.0,445710.0,133510.0,159655.0,195883.0,170070.0
296970.0,391333.0,349085.0,132936.0,363941.0,223134.0,182900.0,360483.0,320951.0,152289.0,251218.0,153306.0,434786.0,114801.0,152167.0,362211.0,441670.0,281627.0,343146.0,194863.0,251103.0,427442.0,455780.0,223382.0,349211.0,196996.0,377535.0,181296.0,221484.0,204729.0,220557.0,369024.0,134432.0,266408.0,451385.0,347548.0,343110.0,131626.0,292701.0,433989.0,340143.0,310275.0,102044.0,425178.0,417094.0,278857.0,212797.0,327143.0,298052.0,304233.0
243511.0,251776.0,177210.0,444289.0,180345.0,428197.0,194863.0,343967.0,215481.0,173461.0,360641.0,398990.0,179685.0,387883.0,218826.0,294107.0,308178.0,103190.0,256470.0,426411.0,104856.0,181761.0,364995.0,406648.0,277634.0,235527.0,285483.0,235988.0,414067.0,152533.0,279544.0,251103.0,193782.0,131814.0,157779.0,358736.0,266352.0,100167.0,185925.0,216172.0,200997.0,321859.0,416785.0,182900.0,259705.0,157163.0,234211.0,429654.0,288205.0,305242.0
260262.0,195544.0,395547.0,442463.0,297552.0,404499.0,312187.0,347164.0,430108.0,200227.0,186246.0,388426.0,226852.0,337926.0,421024.0,442678.0,332343.0,353403.0,425025.0,242095.0,147871.0,346745.0,150430.0,170035.0,291391.0,177708.0,448200.0,286616.0,367105.0,177015.0,136106.0,326815.0,414848.0,241058.0,255220.0,371076.0,229818.0,270994.0,354634.0,335660.0,183482.0,150141.0,215487.0,202551.0,399027.0,288867.0,338093.0,231602.0,396873.0,197313.0
433832.0,430798.0,402631.0,305588.0,300232.0,147546.0,332734.0,281943.0,333055.0,321438.0,413681.0,320880.0,418872.0,180437.0,136606.0,167988.0,243303.0,323369.0,117444.0,166877.0,345969.0,303532.0,275566.0,247468.0,413140.0,413278.0,187854.0,414327.0,204467.0,259963.0,450512.0,120731.0,246938.0,115794.0,141735.0,242878.0,197258.0,320535.0,349324.0,188225.0,156032.0,320841.0,206476.0,342209.0,292616.0,364723.0,134948.0,248137.0,244469.0,197665.0
291810.0,158989.0,358862.0,278465.0,331595.0,398514.0,198328.0,136214.0,419596.0,108569.0,209432.0,261985.0,386878.0,304183.0,119568.0,422201.0,405524.0,259788.0,193736.0,151634.0,152774.0,390272.0,201168.0,215865.0,346819.0,448843.0,373941.0,392711.0,251137.0,294361.0,280676.0,143764.0,143646.0,222727.0,413123.0,423568.0,406255.0,371775.0,455261.0,411506.0,275063.0,112536.0,269014.0,373832.0,342076.0,415465.0,113542.0,303057.0,134394.0,375527.0
387323.0,397441.0,215990.0,119785.0,205549.0,440619.0,326268.0,313529.0,222106.0,354018.0,125884.0,200985.0,332002.0,362353.0,424764.0,160050.0,225445.0,178275.0,338064.0,423695.0,369153.0,361513.0,114007.0,190527.0,440374.0,427751.0,347164.0,102631.0,261023.0,180925.0,427442.0,352435.0,194004.0,342500.0,159416.0,262868.0,397098.0,256561.0,172056.0,312784.0,354499.0,292293.0,113773.0,131662.0,162785.0,174376.0,150505.0,105107.0,367462.0,333946.0
342096.0,110334.0,359481.0,116514.0,247236.0,396189.0,186734.0,355429.0,306380.0,418864.0,112661.0,117106.0,126671.0,450361.0,374641.0,395170.0,355553.0,428560.0,130644.0,415719.0,408422.0,132173.0,423930.0,315600.0,178760.0,165459.0,248820.0,298254.0,403867.0,320139.0,268843.0,210194.0,353173.0,172143.0,343635.0,301871.0,380449.0,429996.0,217009.0,247630.0,238226.0,363820.0,366481.0,224784.0,452342.0,239813.0,289749.0,429170.0,183584.0,166737.0
396134.0,127559.0,147162.0,206476.0,304337.0,398130.0,259963.0,115138.0,197665.0,414327.0,377278.0,318051.0,298028.0,446599.0,161304.0,235188.0,333184.0,268042.0,188225.0,157224.0,282193.0,167237.0,281943.0,146039.0,366944.0,351867.0,444124.0,134948.0,242878.0,167864.0,303532.0,311490.0,166877.0,136606.0,169650.0,139482.0,416469.0,337517.0,307128.0,213860.0,320841.0,203634.0,232543.0,366232.0,337220.0,208709.0,204995.0,235510.0,117444.0,328115.0
413140.0,322764.0,430798.0,232318.0,342140.0,196921.0,100277.0,384973.0,248137.0,187854.0,236941.0,249080.0,180437.0,277608.0,451925.0,158729.0,448256.0,433832.0,155242.0,353162.0,247468.0,372805.0,101357.0,418686.0,345969.0,278431.0,419112.0,148453.0,105198.0,306338.0,282665.0,385359.0,237330.0,342209.0,188537.0,183491.0,303532.0,298913.0,328115.0,136606.0,252583.0,111379.0,300232.0,191986.0,426338.0,320535.0,423590.0,402771.0,413681.0,369808.0
455501.0,274842.0,328187.0,224338.0,216736.0,164238.0,414370.0,326007.0,186100.0,228853.0,126075.0,404506.0,391585.0,191986.0,127619.0,377381.0,325301.0,109384.0,167119.0,146620.0,279090.0,132326.0,165930.0,215701.0,357350.0,201188.0,272952.0,195358.0,398761.0,444365.0,139392.0,306512.0,394500.0,160422.0,320535.0,448859.0,251406.0,386353.0,413681.0,404885.0,190120.0,242145.0,158567.0,177103.0,320841.0,132191.0,187854.0,265842.0,147016.0,249958.0
384728.0,242977.0,280676.0,263236.0,143646.0,287498.0,112536.0,373832.0,323322.0,264952.0,160868.0,376600.0,292982.0,172056.0,116503.0,159045.0,434182.0,159632.0,259788.0,337281.0,304714.0,238609.0,172870.0,208706.0,441698.0,233250.0,189954.0,133403.0,161246.0,253993.0,208446.0,143764.0,256720.0,289886.0,274278.0,304183.0,137141.0,377288.0,218104.0,193736.0,204062.0,406391.0,285230.0,119568.0,342570.0,331595.0,450268.0,420679.0,347810.0,452309.0
327825.0,317977.0,127117.0,111379.0,302358.0,454725.0,231349.0,119566.0,218979.0,262313.0,447126.0,260109.0,370418.0,197313.0,247468.0,440542.0,262529.0,308318.0,242012.0,257065.0,231524.0,102965.0,309757.0,363562.0,434711.0,122578.0,215487.0,175446.0,388830.0,208209.0,168659.0,261852.0,220894.0,117869.0,300232.0,380194.0,206951.0,250451.0,209075.0,296258.0,331172.0,262435.0,367105.0,396488.0,432328.0,286616.0,415610.0,155943.0,169755.0,136845.0
193145.0,162958.0,247851.0,175446.0,167070.0,454725.0,254929.0,308318.0,209075.0,309397.0,301189.0,174436.0,423440.0,190361.0,158583.0,141209.0,175582.0,161127.0,244153.0,179162.0,431072.0,231292.0,161424.0,175036.0,175803.0,246509.0,130716.0,394616.0,347714.0,372667.0,250380.0,421217.0,112484.0,159181.0,440901.0,126046.0,382535.0,193886.0,154069.0,110127.0,220462.0,418686.0,372135.0,222576.0,139936.0,191790.0,405034.0,230751.0,436406.0,442082.0
162958.0,308318.0,247851.0,347714.0,454725.0,193145.0,190361.0,209075.0,161424.0,231292.0,179162.0,266643.0,229084.0,159181.0,303204.0,175803.0,216736.0,167070.0,176468.0,405034.0,418686.0,230751.0,440901.0,358845.0,372135.0,244153.0,222576.0,201855.0,301189.0,151544.0,141209.0,380194.0,398761.0,323369.0,412729.0,299644.0,109384.0,423440.0,224338.0,247468.0,246011.0,112484.0,302838.0,334452.0,224949.0,372756.0,408038.0,111886.0,177103.0,175446.0
270624.0,105131.0,292701.0,152926.0,209819.0,104596.0,195621.0,182508.0,152289.0,420494.0,253765.0,353204.0,260553.0,417037.0,394616.0,102044.0,390918.0,376424.0,130716.0,102115.0,161728.0,144943.0,410804.0,341146.0,373952.0,281735.0,221212.0,208706.0,123010.0,429170.0,286915.0,121824.0,399215.0,452596.0,372667.0,417596.0,174978.0,417195.0,439291.0,231442.0,111033.0,285230.0,141017.0,287147.0,330340.0,208446.0,221484.0,234010.0,351266.0,226724.0
170886.0,287027.0,277293.0,368605.0,118777.0,414926.0,149044.0,117696.0,104948.0,102631.0,143571.0,277497.0,347620.0,211476.0,356136.0,149696.0,330653.0,389293.0,440204.0,438282.0,115900.0,412554.0,332120.0,147526.0,403750.0,441670.0,340391.0,324911.0,147369.0,290218.0,245522.0,382323.0,181841.0,412148.0,308690.0,375711.0,338064.0,292675.0,237607.0,113773.0,368098.0,387799.0,130069.0,255220.0,435356.0,283755.0,410386.0,431518.0,136424.0,328225.0
